,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
102,2018,2018,0,Total,19424,7463.000000000001,"Census Tract 104, Philadelphia County, PA",14000US42101010400
103,2018,2018,0,Total,21102,6658.0,"Census Tract 105, Philadelphia County, PA",14000US42101010500
104,2018,2018,0,Total,19111,8325.0,"Census Tract 106, Philadelphia County, PA",14000US42101010600
105,2018,2018,0,Total,19719,11176.0,"Census Tract 107, Philadelphia County, PA",14000US42101010700
106,2018,2018,0,Total,21739,3393.9999999999995,"Census Tract 108, Philadelphia County, PA",14000US42101010800
107,2018,2018,0,Total,23231,6146.0,"Census Tract 109, Philadelphia County, PA",14000US42101010900
108,2018,2018,0,Total,16910,4220.0,"Census Tract 110, Philadelphia County, PA",14000US42101011000
109,2018,2018,0,Total,31131,13006.0,"Census Tract 111, Philadelphia County, PA",14000US42101011100
110,2018,2018,0,Total,26453,11004.0,"Census Tract 112, Philadelphia County, PA",14000US42101011200
111,2018,2018,0,Total,34844,8816.0,"Census Tract 113, Philadelphia County, PA",14000US42101011300
112,2018,2018,0,Total,37911,6340.0,"Census Tract 114, Philadelphia County, PA",14000US42101011400
113,2018,2018,0,Total,49056,4473.0,"Census Tract 115, Philadelphia County, PA",14000US42101011500
114,2018,2018,0,Total,73083,34832.0,"Census Tract 117, Philadelphia County, PA",14000US42101011700
115,2018,2018,0,Total,41071,7150.0,"Census Tract 118, Philadelphia County, PA",14000US42101011800
116,2018,2018,0,Total,27038,9250.0,"Census Tract 119, Philadelphia County, PA",14000US42101011900
117,2018,2018,0,Total,65804,11935.0,"Census Tract 120, Philadelphia County, PA",14000US42101012000
118,2018,2018,0,Total,43125,6979.0,"Census Tract 121, Philadelphia County, PA",14000US42101012100
119,2018,2018,0,Total,26903,5154.0,"Census Tract 122.01, Philadelphia County, PA",14000US42101012201
120,2018,2018,0,Total,41250,17949.0,"Census Tract 122.03, Philadelphia County, PA",14000US42101012203
121,2018,2018,0,Total,52903,10045.0,"Census Tract 122.04, Philadelphia County, PA",14000US42101012204
122,2018,2018,0,Total,76599,8153.0,"Census Tract 125, Philadelphia County, PA",14000US42101012500
123,2018,2018,0,Total,42016,14886.0,"Census Tract 131, Philadelphia County, PA",14000US42101013100
124,2018,2018,0,Total,22788,8476.0,"Census Tract 132, Philadelphia County, PA",14000US42101013200
125,2018,2018,0,Total,71146,13784.0,"Census Tract 133, Philadelphia County, PA",14000US42101013300
126,2018,2018,0,Total,88019,17165.0,"Census Tract 134.01, Philadelphia County, PA",14000US42101013401
127,2018,2018,0,Total,94000,27379.0,"Census Tract 134.02, Philadelphia County, PA",14000US42101013402
128,2018,2018,0,Total,77429,8466.0,"Census Tract 135, Philadelphia County, PA",14000US42101013500
129,2018,2018,0,Total,104643,11262.0,"Census Tract 136.01, Philadelphia County, PA",14000US42101013601
